"","A","D","H","results","B365H","B365D","B365A"
"13381",0.55,0.1,0.35,"D",4,3.3,2.1
"13391",0.02,0.04,0.94,"A",0,0,0
"13401",0.08,0.1,0.82,"A",2.2,3.3,3.75
"13411",0.33,0.46,0.21,"D",3.2,3.3,2.45
"13421",0,0.03,0.97,"H",1.25,6.5,15
"13431",0.04,0.17,0.79,"H",1.75,3.75,5.25
"13441",0.58,0.23,0.19,"A",0,0,0
"13451",0.08,0.32,0.6,"H",2.6,3.3,3
"13461",0.07,0.14,0.79,"D",1.55,4,7.5
"13471",0,0.03,0.97,"H",1.33,5.5,11
"13481",0,0.09,0.91,"H",1.3,5.75,12
"13491",0.18,0.06,0.76,"H",1.53,4.2,7.5
"13501",0.12,0.03,0.85,"H",0,0,0
"13511",0.23,0.09,0.68,"A",2.45,3.2,3.3
"13521",0.03,0.15,0.82,"H",2.1,3.4,3.9
"13531",0.08,0.22,0.7,"H",2.35,3.5,3.2
"13541",0.09,0.08,0.83,"A",3.9,3.3,2.15
"13551",0.6,0.08,0.32,"D",0,0,0
"13561",0.09,0.12,0.79,"H",2.9,3.4,2.6
"13571",0.77,0.18,0.05,"A",2.5,3.6,2.9
"13581",0.19,0.1,0.71,"D",0,0,0
"13591",0.51,0.45,0.04,"A",5,3.75,1.8
"13601",0.69,0.16,0.15,"A",9,5,1.4
"13611",0.1,0.57,0.33,"H",2.15,3.3,3.9
"13621",0.12,0.31,0.57,"H",2.1,3.4,3.9
"13631",0.03,0.05,0.92,"H",1.36,5.25,9.5
"13641",0.12,0.08,0.8,"H",1.29,6,12
"13651",0.04,0.15,0.81,"H",2.5,3.3,3.1
"13661",0.09,0.06,0.85,"A",1.36,5.75,8.5
"13671",0,0.01,0.99,"H",0,0,0
"13681",0,0.25,0.75,"H",2.3,3.6,3.25
"13691",0.38,0.42,0.2,"A",2.5,3.4,3
"13701",0.66,0.3,0.04,"A",5,4,1.75
"13711",0.68,0.3,0.02,"D",9,5,1.4
"13721",0.81,0.12,0.07,"A",8,4.75,1.44
"13731",0.4,0.46,0.14,"A",4,3.6,2
"13741",0.36,0.03,0.61,"D",0,0,0
"13751",0.04,0.22,0.74,"H",1.22,7,16
"13761",0.17,0.65,0.18,"H",2.63,3.4,2.88
"13771",0.28,0.11,0.61,"A",7.5,4.5,1.5
"13781",0.32,0.49,0.19,"H",2.55,3.25,3.1
"13791",0.1,0.01,0.89,"H",1.45,4.75,8
"13801",0.37,0.02,0.61,"A",0,0,0
"13811",0.25,0.33,0.42,"D",5,4,1.75
"13821",0.12,0.05,0.83,"H",1.65,4,6
"13831",0.04,0.48,0.48,"H",1.95,3.7,4.2
"13841",0.7,0.24,0.06,"D",2.88,3.6,2.5
"13851",0.01,0.05,0.94,"H",1.3,6,11
"13861",0.07,0.43,0.5,"D",1.75,3.75,5.5
"13871",0.2,0.08,0.72,"H",3.75,3.5,2.1
"13881",0,0.01,0.99,"H",1.25,6.5,15
"13891",0.64,0.09,0.27,"H",1.85,3.8,4.5
"13901",0.3,0.08,0.62,"A",3.6,3.4,2.2
"13911",0.3,0.29,0.41,"H",1.73,4,5
"13921",0.01,0.18,0.81,"H",1.33,5.75,10
"13931",0.57,0.2,0.23,"A",7.5,4.5,1.5
"13941",0.08,0.12,0.8,"D",2.45,3.3,3.2
"13951",0.77,0.15,0.08,"H",7,4.33,1.53
"13961",0.13,0.7,0.17,"H",2.05,3.5,4
"13971",0.05,0.18,0.77,"H",1.44,4.75,8
"13981",0.13,0.78,0.09,"H",2.15,3.4,3.8
"13991",0.15,0.09,0.76,"H",1.45,4.5,8.5
"14001",0.62,0.18,0.2,"A",6.25,4,1.62
"14011",0.04,0.17,0.79,"H",1.29,6,13
"14021",0.11,0.18,0.71,"H",1.33,5.75,10
"14031",0.31,0.27,0.42,"A",3.8,3.6,2.05
"14041",0.14,0.41,0.45,"A",2.05,3.4,4.2
"14051",0.03,0.18,0.79,"H",1.91,3.6,4.5
"14061",0.39,0.35,0.26,"D",3.25,3.6,2.3
"14071",0.32,0.07,0.61,"A",0,0,0
"14081",0,0.01,0.99,"H",1.2,7.5,17
"14091",0.22,0.54,0.24,"H",2.2,3.4,3.6
"14101",0.02,0.15,0.83,"A",2.55,3.25,3.1
"14111",0.13,0.34,0.53,"A",2.63,3.3,2.9
"14121",0.36,0.29,0.35,"A",3.3,3.3,2.38
"14131",0.04,0.16,0.8,"H",1.62,4.2,6
"14141",0.05,0.14,0.81,"H",0,0,0
"14151",0.05,0.18,0.77,"D",1.85,3.6,4.75
"14161",0.09,0.24,0.67,"A",2.8,3.3,2.75
"14171",0.65,0.27,0.08,"H",3.25,3.5,2.3
"14181",0.03,0.07,0.9,"H",1.29,6,12
"14191",0.54,0.15,0.31,"H",1.91,3.8,4.2
"14201",0.09,0.07,0.84,"D",1.73,3.9,5.25
"14211",0.03,0.08,0.89,"D",2.7,3.2,2.9
"14221",0.13,0.22,0.65,"A",0,0,0
"14231",0.05,0.29,0.66,"D",2.15,3.3,3.9
"14241",0.11,0.07,0.82,"H",1.7,3.8,5.75
"14251",0.05,0.2,0.75,"H",1.83,3.75,4.75
"14261",0.01,0.17,0.82,"A",2.38,3.25,3.4
"14271",0.08,0.04,0.88,"D",1.5,3.6,7.5
"14281",0.01,0,0.99,"H",1.3,5.5,8.5
"14291",0.03,0.07,0.9,"H",1.4,4.5,7.5
"14301",0.09,0.12,0.79,"H",1.83,3.75,4.2
"14311",0.71,0.13,0.16,"D",3.5,3.4,2.1
"14321",0.23,0.61,0.16,"A",2.9,3.2,2.7
"14331",0.05,0.17,0.78,"D",2.5,3.3,3.1
"14341",0.23,0.22,0.55,"H",2.63,3.4,2.88
"14351",0.08,0.15,0.77,"H",0,0,0
"14361",0.1,0.16,0.74,"A",2.45,3.25,3.25
"14371",0.64,0.23,0.13,"H",4.2,3.4,2.05
"14381",0.29,0.35,0.36,"H",2.25,3.5,3.4
"14391",0.01,0.21,0.78,"A",1.8,3.75,5
"14401",0.07,0.1,0.83,"H",3.1,3.5,2.4
"14411",0.05,0.1,0.85,"H",1.4,5.25,8.5
"14421",0.05,0.15,0.8,"A",0,0,0
"14431",0.03,0.13,0.84,"D",0,0,0
"14441",0.32,0.19,0.49,"D",0,0,0
"14451",0.04,0.07,0.89,"D",0,0,0
"14461",0.16,0.14,0.7,"A",2.87,3.25,2.37
"14471",0.07,0.27,0.66,"H",0,0,0
"14481",0,0,1,"H",1.2,5.5,10
"14491",0.14,0.17,0.69,"H",1.53,3.5,5.5
"14501",0.1,0.28,0.62,"H",0,0,0
"14511",0.12,0.4,0.48,"H",0,0,0
"14521",0.46,0.34,0.2,"D",0,0,0
"14531",0.17,0.03,0.8,"D",0,0,0
"14541",0.03,0.24,0.73,"A",0,0,0
"14551",0.12,0.34,0.54,"D",0,0,0
"14561",0.08,0.3,0.62,"H",2,3.2,3.75
"14571",0.49,0.29,0.22,"A",0,0,0
"14581",0.43,0.25,0.32,"A",0,0,0
"14591",0.29,0.4,0.31,"D",0,0,0
"14601",0.56,0.44,0,"A",0,0,0
"14611",0.06,0.35,0.59,"D",2,3.25,3.25
"14621",0.06,0.21,0.73,"A",0,0,0
"14631",0.01,0.23,0.76,"D",0,0,0
"14641",0.57,0.05,0.38,"A",3.5,3.2,2.1
"14651",0.15,0.42,0.43,"D",0,0,0
"14661",0.11,0.1,0.79,"H",1.833,3.25,3.75
"14671",0.1,0.04,0.86,"H",0,0,0
"14681",0.04,0.11,0.85,"H",0,0,0
"14691",0.29,0.56,0.15,"H",0,0,0
"14701",0.14,0.56,0.3,"H",0,0,0
"14711",0.12,0.18,0.7,"H",0,0,0
"14721",0.04,0.05,0.91,"H",0,0,0
"14731",0.74,0.21,0.05,"A",0,0,0
"14741",0.06,0.01,0.93,"H",0,0,0
"14751",0.15,0.15,0.7,"D",1.72,3.4,4.5
"14761",0.06,0.03,0.91,"A",0,0,0
"14771",0.75,0.1,0.15,"A",0,0,0
"14781",0,0,1,"A",0,0,0
"14791",0.07,0.19,0.74,"A",0,0,0
"14801",0.26,0.06,0.68,"H",0,0,0
"14811",0.32,0.06,0.62,"A",0,0,0
"14821",0.84,0.09,0.07,"A",0,0,0
"14831",0.24,0.15,0.61,"H",0,0,0
"14841",0.02,0.57,0.41,"H",0,0,0
"14851",0.05,0.1,0.85,"D",0,0,0
"14861",0.1,0.1,0.8,"D",0,0,0
"14871",0.01,0.05,0.94,"A",1.571,3.4,5.5
"14881",0.74,0.19,0.07,"A",0,0,0
"14891",0.03,0.2,0.77,"D",0,0,0
"14901",0.08,0.34,0.58,"A",0,0,0
"14911",0.86,0.04,0.1,"A",0,0,0
"14921",0.03,0.17,0.8,"A",0,0,0
"14931",0.1,0.19,0.71,"D",0,0,0
"14941",0.07,0.2,0.73,"H",2.375,3,2.75
"14951",0.41,0.03,0.56,"H",3.25,3.5,2
"14961",0.67,0.09,0.24,"D",2.62,3.2,2.6
"14971",0.02,0.09,0.89,"A",1.833,3.25,3.75
"14981",0.16,0.05,0.79,"A",2.6,3.2,2.4
"14991",0.12,0.07,0.81,"H",1.3,5,9.5
"15001",0.44,0.13,0.43,"A",5,3.6,1.61
"15011",0.21,0.11,0.68,"H",0,0,0
"15021",0.05,0.31,0.64,"A",2.1,3.25,3
"15031",0.06,0.47,0.47,"H",1.667,3.4,4.5
"15041",0.73,0.23,0.04,"H",5.5,3.2,1.72
"15051",0.25,0.53,0.22,"D",2.75,3.2,2.5
"15061",0.05,0.25,0.7,"H",2.3,3.2,2.7
"15071",0.03,0.05,0.92,"A",2.5,3.2,2.6
"15081",0,0.01,0.99,"H",1.28,5,10
"15091",0.04,0.23,0.73,"H",0,0,0
"15101",0.23,0.48,0.29,"A",2.4,3.2,2.7
"15111",0.07,0.17,0.76,"A",2,3.25,3.25
"15121",0,0.06,0.94,"A",1.727,3.25,4.333
"15131",0.01,0.05,0.94,"A",1.8,3.25,4
"11002",0.04,0.18,0.78,"H",1.83,3.3,3.75
"21001",0.45,0.11,0.44,"H",2.6,3.1,2.7
"31001",0.02,0.14,0.84,"A",2.1,3.2,3.5
"4547",0.24,0.62,0.14,"D",3.2,3.1,2.25
"5102",0.03,0.14,0.83,"D",2.2,3.2,3.25
"6102",0.02,0.07,0.91,"A",1.53,3.6,6.5
"7102",0.04,0.09,0.87,"H",2,3.25,3.75
"8102",0.7,0.08,0.22,"H",3.8,3.3,1.95
"9102",0.03,0.4,0.57,"H",2.2,3.2,3.25
"10102",0.4,0.04,0.56,"D",2.25,3.2,3.1
"11102",0.08,0.17,0.75,"D",2.25,3.1,3.2
"12102",0.02,0.15,0.83,"H",1.53,3.8,6
"13102",0.07,0.11,0.82,"A",1.95,3.25,3.8
"14102",0.13,0.12,0.75,"H",2,3.3,3.6
"15102",0.06,0.1,0.84,"D",2.05,3.25,3.5
"16101",0.11,0.06,0.83,"H",2,3.3,3.6
"17101",0.01,0.01,0.98,"H",1.22,5.5,13
"18101",0.02,0.44,0.54,"H",3.2,3.25,2.2
"19101",0.03,0.06,0.91,"H",2,3,3.5
"20101",0.87,0.1,0.03,"A",13,7,1.16
"21101",0.19,0.2,0.61,"A",3.4,3.5,2
"22101",0.07,0.22,0.71,"D",2,3.4,3.75
"23101",0.61,0.09,0.3,"H",2,3.3,3.8
"24101",0.42,0.07,0.51,"H",2.5,3.25,2.8
"25101",0.09,0.37,0.54,"H",2.62,3.25,2.62
"26101",0.18,0.44,0.38,"A",2.2,3.25,3.2
"27101",0.04,0.04,0.92,"H",1.22,5.75,13
"28101",0.08,0.4,0.52,"A",1.73,3.5,5
"29101",0.07,0.06,0.87,"A",1.36,4.75,8.5
"30101",0.23,0.01,0.76,"H",1.72,3.4,5
"31101",0.05,0.01,0.94,"D",2.05,3.4,3.6
"32101",0.27,0.04,0.69,"D",2.5,3.25,2.8
"33101",0.89,0.03,0.08,"A",2.9,3.3,2.4
"34101",0.1,0.55,0.35,"H",2.15,3.3,3.4
"35101",0.06,0.13,0.81,"A",1.36,4.75,8.5
"36101",0.69,0.19,0.12,"A",9,5,1.33
"37101",0.02,0.04,0.94,"H",1.3,5.5,9
"38101",0.05,0.06,0.89,"D",2.1,3.4,3.4
"39101",0.58,0.08,0.34,"D",3.6,3.5,2
"40101",0.1,0.11,0.79,"H",2.1,3.25,3.6
"41101",0.35,0.02,0.63,"A",2.1,3.3,3.5
"42101",0.71,0.21,0.08,"A",3.5,3.3,2.1
"43101",0.08,0.03,0.89,"H",1.53,4.2,6
"44101",0.13,0.29,0.58,"H",2.4,3.4,2.8
"4548",0.01,0.25,0.74,"H",1.95,3.3,4
"4612",0.87,0.06,0.07,"A",3.4,3.4,2.1
"4712",0.06,0.25,0.69,"H",2.3,3,3.4
"4812",0.29,0.07,0.64,"A",2.37,3.2,2.9
"4912",0.15,0.13,0.72,"D",1.9,3.4,4
"5012",0.11,0.03,0.86,"A",1.62,3.6,6
"5112",0.03,0.14,0.83,"H",1.8,3.25,4
"5212",0.01,0.02,0.97,"H",1.25,5.5,12
"5312",0.03,0.12,0.85,"H",1.4,4.5,7.5
"5412",0.06,0.14,0.8,"H",2.5,3.25,2.8
"5512",0.01,0.06,0.93,"A",1.53,3.8,6.5
"5612",0.93,0.05,0.02,"A",7.5,3.75,1.5
"5712",0.27,0.1,0.63,"A",2.3,3.1,2.87
"5812",0.03,0.11,0.86,"A",1.75,3.5,4.75
"5912",0.01,0.04,0.95,"H",1.5,4,7
"6012",0.15,0.24,0.61,"D",1.73,3.5,5
"6112",0.02,0.02,0.96,"A",1.22,5.75,13
"6212",0.05,0.26,0.69,"H",2,3.3,3.75
"6312",0.49,0.06,0.45,"D",2.4,3.25,2.9
"6412",0.91,0.08,0.01,"A",4.5,3.5,1.8
"6512",0.13,0.29,0.58,"H",2.2,3.25,3.4
"6612",0.82,0.12,0.06,"H",3.75,3.6,1.9
"6712",0,0.03,0.97,"H",1.8,3.4,4.75
"6812",0.14,0.04,0.82,"H",2.2,3.2,3.4
"6912",0.11,0.04,0.85,"H",1.8,3.4,4.75
"7012",0.34,0.09,0.57,"H",2.62,3.2,2.7
"7112",0.02,0.1,0.88,"H",1.72,3.6,4.75
"7212",0.01,0.07,0.92,"H",1.3,5.25,9.5
"7312",0.91,0.03,0.06,"A",4.75,3.6,1.72
"7412",0.11,0.03,0.86,"D",1.57,3.5,6.5
"7512",0.15,0.2,0.65,"H",1.85,3.5,4.2
"7612",0.15,0.1,0.75,"A",2.5,3.4,2.75
"7712",0.04,0.06,0.9,"D",2.5,3.25,2.8
"7812",0.11,0.22,0.67,"D",2.3,3.4,3
"7912",0.32,0.21,0.47,"A",1.8,3.3,4.5
"8012",0.6,0.06,0.34,"A",2.5,3.25,2.8
"8112",0.62,0.14,0.24,"A",2.87,3.4,2.37
"8212",0.08,0.33,0.59,"H",2.1,3.3,3.5
"8312",0.07,0.05,0.88,"D",1.85,3.5,4.2
"8412",0.21,0.15,0.64,"H",1.62,3.8,5.5
"8512",0.07,0.16,0.77,"H",2.38,3.25,3
"8612",0.23,0.7,0.07,"A",2.8,3.3,2.5
"8712",0.04,0.03,0.93,"A",2,3.5,3.6
"8812",0.39,0.12,0.49,"H",2.25,3.5,3
"8912",0.12,0.14,0.74,"A",1.5,4.33,6
"9012",0.51,0.34,0.15,"A",4.2,3.6,1.83
"9112",0.59,0.34,0.07,"H",1.7,4,4.33
"9212",0.26,0.25,0.49,"D",2.25,3.1,3.2
"9312",0.76,0.17,0.07,"D",4.75,3.75,1.7
"9412",0.01,0.36,0.63,"A",2.1,3.2,3.3
"9512",0.03,0.35,0.62,"H",1.1,9,21
"9612",0.12,0.14,0.74,"H",2,3.5,3.75
"9712",0.03,0.14,0.83,"D",2.3,3.3,3.1
"9812",0.13,0.13,0.74,"H",1.57,3.5,6.5
"9912",0.49,0.04,0.47,"A",3.8,3.6,1.91
"10012",0,0.01,0.99,"H",1.83,3.5,4.33
"10112",0.16,0.28,0.56,"D",2,3.4,3.75
"10212",0.27,0.34,0.39,"A",2.25,3.3,3.2
"10312",0.07,0.24,0.69,"H",1.73,3.6,4.75
"10412",0.62,0.04,0.34,"D",2.8,3.25,2.5
"10512",0.02,0.1,0.88,"D",1.25,5.5,12
"10612",0.07,0.04,0.89,"H",2.75,3.3,2.5
"10712",0.01,0.08,0.91,"H",1.5,4,6.5
"10812",0.06,0.08,0.86,"D",1.33,4.75,9.5
"10912",0.23,0.34,0.43,"A",2,3.3,3.8
"11012",0.46,0.17,0.37,"D",2.7,3.1,2.7
"11112",0.08,0.03,0.89,"A",2,3.5,3.6
"11212",0.06,0.44,0.5,"H",1.73,3.5,5
"11312",0.66,0.07,0.27,"A",3.5,3.3,2.1
"11412",0.03,0.04,0.93,"H",1.2,6.5,13
"11512",0.08,0.06,0.86,"H",2.1,3.3,3.5
"11612",0.04,0.11,0.85,"D",3.1,3.4,2.25
"11712",0.09,0.63,0.28,"H",2.1,3.3,3.5
"11812",0.05,0.01,0.94,"H",1.83,3.3,4.33
"11912",0.02,0.07,0.91,"H",1.6,3.75,5.75
"12012",0.01,0.07,0.92,"H",1.44,4.33,7
"12112",0.4,0.04,0.56,"H",2.5,3.3,2.75
"12212",0.04,0.26,0.7,"H",1.33,5,8.5
"12312",0.09,0.15,0.76,"H",1.57,3.8,6
"12412",0.16,0.34,0.5,"D",2,3.3,3.6
"12512",0.04,0.21,0.75,"D",1.67,3.6,5.25
"12612",0.13,0.12,0.75,"H",1.44,4.2,7.5
"12712",0.09,0.23,0.68,"A",3.25,3.2,2.25
"12812",0.9,0.03,0.07,"A",13,6.5,1.2
"12912",0.02,0.02,0.96,"H",2.3,3.25,3.1
"13012",0.93,0.06,0.01,"H",4.5,3.75,1.73
"13112",0.01,0.12,0.87,"H",1.53,3.75,7
"13212",0,0,1,"H",1.3,5.5,9
"13312",0.2,0.09,0.71,"A",1.91,3.4,4
"13412",0.46,0.11,0.43,"H",2.37,3.2,2.9
"13512",0,0.01,0.99,"H",1.17,7,15
"13612",0.02,0.28,0.7,"A",2.1,3.3,3.5
"13712",0.04,0.19,0.77,"D",2.4,3.25,2.9
"13812",0.3,0.2,0.5,"D",2.1,3.3,3.5
"13912",0.02,0.52,0.46,"H",2.4,3.3,2.88
"14012",0.36,0.14,0.5,"H",1.85,3.5,4
"14112",0.19,0.39,0.42,"D",1.91,3.4,4
"14212",0.9,0.05,0.05,"A",7.5,4.2,1.44
"14312",0.11,0.23,0.66,"H",2.2,3.3,3.3
"14412",0.08,0.15,0.77,"H",1.3,5.25,10
"14512",0.07,0.21,0.72,"D",1.8,3.5,4.5
"14612",0.06,0.08,0.86,"H",1.62,3.75,5.5
"14712",0.01,0.04,0.95,"H",1.8,3.5,4.5
"14812",0.05,0.18,0.77,"D",2,3.4,3.8
"14912",0.26,0.09,0.65,"D",2.2,3.3,3.2
"15012",0.03,0.04,0.93,"D",1.91,3.4,4
"15112",0.19,0.25,0.56,"D",2.4,3.3,2.88
"15211",0.03,0.01,0.96,"H",1.1,8.5,29
"15311",0,0.01,0.99,"A",2.4,3.3,2.88
"15411",0.21,0.1,0.69,"H",2.5,3.3,2.75
"15511",0.54,0.09,0.37,"A",2,3.4,3.75
"15611",0.01,0.06,0.93,"H",1.13,8,19
"15711",0.29,0.08,0.63,"H",1.61,3.6,5.5
"15811",0.22,0.17,0.61,"H",1.36,5,8
"15911",0.06,0.21,0.73,"D",1.57,3.8,6
"16011",0,0.03,0.97,"H",1.25,5.75,11
"16111",0.75,0.16,0.09,"A",5.75,4.2,1.53
"16211",0.77,0.2,0.03,"A",6,4.33,1.5
"16311",0.04,0.37,0.59,"H",1.8,3.6,4.33
"16411",0.06,0.69,0.25,"H",2.25,3.2,3.1
"16511",0.06,0.48,0.46,"D",2.05,3.3,3.6
"16611",0.06,0.27,0.67,"D",2.2,3.25,3.25
"16711",0.06,0.09,0.85,"D",1.44,4,7.5
"16811",0.78,0.13,0.09,"A",8,4.5,1.4
"16911",0.25,0.34,0.41,"H",1.8,3.5,4.5
"17011",0.48,0.04,0.48,"H",3.4,3.4,2.1
"17111",0.06,0.58,0.36,"A",2.5,3.2,2.75
"17211",0.06,0.31,0.63,"H",1.73,3.5,5
"17311",0,0.08,0.92,"H",1.7,3.6,5
"17411",0.05,0.44,0.51,"H",2.3,3.25,3.1
"17511",0.1,0.01,0.89,"A",2.1,3.25,3.6
"17611",0.58,0.17,0.25,"D",3.5,3.3,2.1
"17711",0.01,0.19,0.8,"A",2.3,3.2,3.2
"17811",0.03,0,0.97,"H",1.8,3.6,4.33
"17911",0.05,0.04,0.91,"H",1.67,3.75,5
"18011",0.52,0.03,0.45,"D",2.38,3,3.2
"18111",0.06,0.09,0.85,"H",1.62,3.75,5.5
"18211",0.03,0.09,0.88,"H",1.83,3.4,4.5
"18311",0.31,0.14,0.55,"H",2.2,3.25,2.8
"18411",0.87,0.02,0.11,"H",2.1,3.3,3.5
"18511",0.32,0.11,0.57,"H",4.2,3.5,1.83
"18611",0.8,0.07,0.13,"A",15,6,1.2
"18711",0.02,0.08,0.9,"H",2,3.4,3.75
"18811",0.1,0.2,0.7,"H",2.3,3.3,3.1
"18911",0.1,0.08,0.82,"H",1.44,4.2,7
"19011",0.85,0.05,0.1,"A",12,5.5,1.25
"19111",0.07,0.07,0.86,"H",1.53,3.8,6.5
"19211",0.12,0.08,0.8,"A",2.2,3.3,3.25
"19311",0.02,0.06,0.92,"H",1.44,4.33,7
"19411",0.42,0.03,0.55,"D",2.25,3.4,3.1
"19511",0.27,0.09,0.64,"H",1.29,5.5,10
"19611",0.02,0.18,0.8,"H",1.83,3.5,4.33
"19711",0.03,0.02,0.95,"H",1.4,4.5,7.5
"19811",0.26,0.03,0.71,"D",3.5,3.3,2.1
"19911",0.12,0.09,0.79,"A",1.83,3.5,4.33
"20011",0.01,0.08,0.91,"H",1.17,6.5,19
"20111",0.03,0.01,0.96,"H",1.14,7.5,17
"20211",0.02,0.06,0.92,"D",1.44,4.33,7
"20311",0.04,0.06,0.9,"A",1.8,3.5,4.5
"20411",0,0.01,0.99,"D",1.5,4.1,6.5
"20511",0.89,0.06,0.05,"D",7.5,4.5,1.4
"20611",0.05,0.17,0.78,"D",1.95,3.3,4
"20711",0.08,0.08,0.84,"D",1.91,3.4,4
"20811",0,0.02,0.98,"H",1.1,9,21
"20911",0.06,0.18,0.76,"A",2,3.4,3.75
"21011",0.07,0.2,0.73,"H",2.3,3.25,3.1
"21111",0.38,0.05,0.57,"D",3.25,3.4,2.15
"21211",0.15,0.05,0.8,"D",2.25,3.2,3.25
"21311",0.06,0.18,0.76,"H",1.95,3.4,3.8
"21411",0.04,0.05,0.91,"A",2.1,3.4,3.4
"21511",0.28,0.4,0.32,"H",2,3.4,3.75
"21611",0,0.04,0.96,"A",1.14,7.5,17
"21711",0.02,0.06,0.92,"A",1.91,3.4,4
"21811",0.3,0.32,0.38,"A",2.5,3.25,2.8
"21911",0.07,0.14,0.79,"A",1.83,3.5,4.33
"22011",0.26,0.2,0.54,"H",2,3.4,3.75
"22111",0.15,0.24,0.61,"D",2.7,3.25,2.6
"22211",0.36,0.56,0.08,"H",2.1,3.25,3.5
"22311",0.42,0.07,0.51,"A",2.75,3.2,2.5
"22411",0.02,0.11,0.87,"H",1.57,4,5.5
"22511",0.41,0.27,0.32,"A",2.38,3.5,2.8
"22611",0.03,0.04,0.93,"H",2,3.4,3.75
"22711",0.13,0.04,0.83,"H",1.8,3.5,4.5
"22811",0,0.02,0.98,"H",1.2,6.5,13
"22911",0.14,0.02,0.84,"D",2.2,3.3,3.25
"23011",0.21,0.09,0.7,"H",1.8,3.6,4.33
"23111",0.37,0.15,0.48,"A",3,3.5,2.25
"23211",0.6,0.08,0.32,"H",2.9,3.2,2.37
"23311",0.47,0.11,0.42,"A",10,6,1.25
"23411",0.09,0.03,0.88,"H",1.72,3.3,5
"23511",0.64,0.3,0.06,"A",13,7.5,1.17
"23611",0.16,0.38,0.46,"D",2.25,3.5,3
"23711",0.36,0.33,0.31,"D",3.5,3.3,2.1
"23811",0.21,0.08,0.71,"H",2.9,3.25,2.4
"23911",0.25,0.48,0.27,"H",1.83,3.5,4.33
"24011",0.37,0.22,0.41,"A",1.91,3.3,4.2
"24111",0.61,0.27,0.12,"A",23,9,1.1
"24211",0.01,0.02,0.97,"H",1.13,8,21
"24311",0.16,0.08,0.76,"H",2.9,3.3,2.4
"24411",0.15,0.05,0.8,"H",2.2,3.3,3.3
"24511",0.13,0.09,0.78,"H",2,3.4,3.75
"24611",0.18,0.26,0.56,"H",1.73,3.5,5
"24711",0.38,0.23,0.39,"H",2.3,3.2,3.2
"24811",0.35,0.14,0.51,"H",2.6,3.2,2.75
"24911",0.14,0.6,0.26,"A",2,3.2,3.75
"25011",0.03,0.1,0.87,"A",1.4,4.5,8
"25111",0,0.01,0.99,"H",1.06,11,29
"25211",0.05,0.07,0.88,"A",2.1,3.25,3.4
"25311",0.27,0.06,0.67,"A",3.2,3.2,2.25
"25411",0.4,0.12,0.48,"A",3.5,3.2,2.1
"25511",0.08,0.06,0.86,"A",1.83,3.5,4.33
"25611",0.08,0.08,0.84,"H",1.73,3.5,5
"25711",0.02,0.04,0.94,"H",1.06,11,29
"25811",0.16,0.02,0.82,"H",2.1,3.25,3.6
"25911",0.26,0.53,0.21,"H",3.2,3.25,2.25
"26011",0.07,0.13,0.8,"H",2.8,3.3,2.5
"26111",0.31,0.15,0.54,"H",2.8,3.25,2.5
"26211",0.14,0.57,0.29,"A",2.1,3.4,3.4
"26311",0.2,0.47,0.33,"H",2,3.3,3.8
"26411",0.28,0.12,0.6,"H",3.1,3.25,2.3
"26511",0.33,0.06,0.61,"D",2.5,3.3,2.75
"26611",0.07,0.08,0.85,"H",1.73,3.5,5
"26711",0.05,0.15,0.8,"D",3.25,3.25,2.25
"26811",0.02,0.14,0.84,"H",1.07,11,26
"26911",0.24,0.05,0.71,"H",2.2,3.3,3.3
"27011",0.04,0.18,0.78,"H",2.2,3.2,3.4
"27111",0.26,0.45,0.29,"D",2,3.4,3.75
"27211",0.62,0.35,0.03,"A",7,4.33,1.44
"27311",0.06,0.23,0.71,"H",2.1,3.25,3.5
"27411",0.08,0.07,0.85,"A",1.75,3.5,4.75
"27511",0.02,0.2,0.78,"H",1.73,3.6,4.75
"27611",0.01,0.08,0.91,"D",1.5,4,7
"27711",0.04,0.33,0.63,"A",1.91,3.4,4
"27811",0.84,0.15,0.01,"A",8.5,4.75,1.36
"27911",0.41,0.44,0.15,"D",2.5,3.2,2.88
"28011",0.15,0.15,0.7,"H",2.1,3.25,3.4
"28111",0.01,0.02,0.97,"H",1.67,3.75,5
"28211",0.04,0.03,0.93,"D",2.2,3.2,3.4
"28311",0.39,0.08,0.53,"D",1.91,3.4,4
"28411",0,0.39,0.61,"H",1.13,8,21
"28511",0.11,0.08,0.81,"A",2.1,3.4,3.4
"28611",0.41,0.05,0.54,"H",4.5,3.5,1.8
"28711",0.03,0.32,0.65,"D",1.62,3.8,5.5
"28811",0.02,0.77,0.21,"D",2,3.3,3.6
"28911",0.08,0.02,0.9,"D",1.91,3.4,4
"29011",0.32,0.09,0.59,"H",3,3.4,2.3
"29111",0.08,0.22,0.7,"D",1.2,6.5,13
"29211",0.93,0.04,0.03,"A",5.5,4,1.57
"29311",0.14,0.06,0.8,"D",2.63,3.4,2.6
"29411",0.66,0.09,0.25,"H",2.6,3.2,2.75
"29511",0.04,0.15,0.81,"H",1.5,4.2,6.5
"29611",0.48,0.08,0.44,"H",1.91,3.5,4
"29711",0.15,0.02,0.83,"A",2.8,3.4,2.4
"29811",0.34,0.05,0.61,"H",2.4,3.25,2.8
"29911",0.13,0.1,0.77,"D",3.1,3.3,2.3
"30011",0.04,0.29,0.67,"A",1.91,3.4,4
